combination,Coping,Happy,Hopeful,number
"(1, 1, 1)",low,low,low,0
"(1, 1, 2)",low,low,medium,1
"(1, 1, 3)",low,low,high,2
"(1, 2, 1)",low,medium,low,3
"(1, 2, 2)",low,medium,medium,4
"(1, 2, 3)",low,medium,high,5
"(1, 3, 1)",low,high,low,6
"(1, 3, 2)",low,high,medium,7
"(1, 3, 3)",low,high,high,8
"(2, 1, 1)",medium,low,low,9
"(2, 1, 2)",medium,low,medium,10
"(2, 1, 3)",medium,low,high,11
"(2, 2, 1)",medium,medium,low,12
"(2, 2, 2)",medium,medium,medium,13
"(2, 2, 3)",medium,medium,high,14
"(2, 3, 1)",medium,high,low,15
"(2, 3, 2)",medium,high,medium,16
"(2, 3, 3)",medium,high,high,17
"(3, 1, 1)",high,low,low,18
"(3, 1, 2)",high,low,medium,19
"(3, 1, 3)",high,low,high,20
"(3, 2, 1)",high,medium,low,21
"(3, 2, 2)",high,medium,medium,22
"(3, 2, 3)",high,medium,high,23
"(3, 3, 1)",high,high,low,24
"(3, 3, 2)",high,high,medium,25
"(3, 3, 3)",high,high,high,26
